,Distance(km),Latitude,Longitude,email,fax,latitude,location,longitude,name,phone,rating,search_term,service,website
1029,,,, (+261) 202 32 23 33 (+261) 202 32 20 34 ballou@moov.mg,,,BP. 1190 - ANTANANARIVO,,BALLOU & C�, (+261) 202 32 23 33 (+261) 202 32 20 34 ballou@moov.mg,,wood,wood, (+261) 202 32 23 33 (+261) 202 32 20 34 ballou@moov.mg
1030,,,, (+261) 202 24 50 37 (+261) 202 24 56 54 tbd@moov.mg www.takelaka.wanadoo.mg/tbd,,,BP. 97 - ANTANANARIVO,,TRADE BOIS, (+261) 202 24 50 37 (+261) 202 24 56 54 tbd@moov.mg www.takelaka.wanadoo.mg/tbd,,wood,wood, (+261) 202 24 50 37 (+261) 202 24 56 54 tbd@moov.mg www.takelaka.wanadoo.mg/tbd
1031,,,, (+261) 202 24 45 27 (+261) 202 24 45 59 two@moov.mg,,,105 IVATO AEROPORT - ANTANANARIVO,,TROPICAL WOOD, (+261) 202 24 45 27 (+261) 202 24 45 59 two@moov.mg,,wood,wood, (+261) 202 24 45 27 (+261) 202 24 45 59 two@moov.mg
1032,,,, (+261) 20 56 830 81 (+261) 20 56 830 81 savitransport2608@hotmail.com,,,AMBAHIBE - MORAMANGA,,ERRF SCIERIE, (+261) 20 56 830 81 (+261) 20 56 830 81 savitransport2608@hotmail.com,,wood,wood, (+261) 20 56 830 81 (+261) 20 56 830 81 savitransport2608@hotmail.com
1033,,,, (+261) 207 55 22 44,,,FINARANTSOA,,LES SCIERIES DU BETSILEO, (+261) 207 55 22 44,,wood,wood, (+261) 207 55 22 44
1034,,,, (+261) 20 22 404 04 (+261) 20 22 404 04 menuisboisandrian@moov.mg,,,RTE ANJOZAROBE - ANTANANARIVO,,MESA, (+261) 20 22 404 04 (+261) 20 22 404 04 menuisboisandrian@moov.mg,,wood,wood, (+261) 20 22 404 04 (+261) 20 22 404 04 menuisboisandrian@moov.mg
1035,,,, (+261) 34 06 277 77 & 33 05 775 77 ets.mihary@blueline.mg,,,"LOT 59 BIS, MANDRIAMBERO TALATAMATY - ANTANANARIVO",,MIHARY BOIS, (+261) 34 06 277 77 & 33 05 775 77 ets.mihary@blueline.mg,,wood,wood, (+261) 34 06 277 77 & 33 05 775 77 ets.mihary@blueline.mg
1036,,,, (+261) 32 41 699 19 poncenette@gmail.com,,,"4 RUE DE NICE, ANALAKELY - ANTANANARIVO",,PONCENETTE, (+261) 32 41 699 19 poncenette@gmail.com,,wood,wood, (+261) 32 41 699 19 poncenette@gmail.com
1037,,,, (+261) 331 16 80 79 qualitwood@yahoo.fr,,,AMBOHIBARY - MORAMANGA,,QUALITY WOOD, (+261) 331 16 80 79 qualitwood@yahoo.fr,,wood,wood, (+261) 331 16 80 79 qualitwood@yahoo.fr
1038,,,, (+261) 202 23 67 71,,,ISOTRY - ANTANANARIVO,,SCIERIE RAKOTONANAHARY MAMY, (+261) 202 23 67 71,,wood,wood, (+261) 202 23 67 71
1039,,,, (+261) 205 68 20 53,,,MORAMANGA,,SCIERIE RANDRIAMBOLOLONA, (+261) 205 68 20 53,,wood,wood, (+261) 205 68 20 53
1040,,,, (+261) 202 24 50 37 (+261) 202 24 56 54 tbd@moov.mg www.takelaka.wanadoo.mg/tbd,,,BP. 97 - ANTANANARIVO,,TRADE BOIS, (+261) 202 24 50 37 (+261) 202 24 56 54 tbd@moov.mg www.takelaka.wanadoo.mg/tbd,,wood,wood, (+261) 202 24 50 37 (+261) 202 24 56 54 tbd@moov.mg www.takelaka.wanadoo.mg/tbd
1041,,,, (+261) 032 69 153 82 contact@imasobank.com www.imasobank.com,,,LOT IC 234 ANDREFAN'ILAFY - ANTANANARIVO,,IMASOBANK, (+261) 032 69 153 82 contact@imasobank.com www.imasobank.com,,hardware,hardware, (+261) 032 69 153 82 contact@imasobank.com www.imasobank.com
1042,,,, (+261) 202 26 30 33 (+261) 202 26 30 33 madaccord@mel.moov.mg,,,ANKADIFOTSY - ANTANANARIVO,,ACCORD MADAGASIKARA, (+261) 202 26 30 33 (+261) 202 26 30 33 madaccord@mel.moov.mg,,hardware,hardware, (+261) 202 26 30 33 (+261) 202 26 30 33 madaccord@mel.moov.mg
1043,,,, (+261) 202 22 18 70 (+261) 202 26 93 77 tamtam@freenet.mg www.tamtam.mg,,,ANTANIMENA - ANTANANARIVO,,AGENCE TAM TAM, (+261) 202 22 18 70 (+261) 202 26 93 77 tamtam@freenet.mg www.tamtam.mg,,hardware,hardware, (+261) 202 22 18 70 (+261) 202 26 93 77 tamtam@freenet.mg www.tamtam.mg
1044,,,, (+261) 32 44 215 19 alliancecomm.contact@icloud.com,,,"IMM. HERYVALISOA , LOT III G OUEST AMBOHIJANAHARY - ANTANANARIVO",,ALLIANCE COMM, (+261) 32 44 215 19 alliancecomm.contact@icloud.com,,hardware,hardware, (+261) 32 44 215 19 alliancecomm.contact@icloud.com
1045,,,, (+261) 324 00 04 04 & 340 21 78 43 cineroutes@moov.mg www.cineroutesvideoproduction.com,,,LOT IB 237 ANDOHARANOFOTSY - ANTANANARIVO,,CINEROUTES, (+261) 324 00 04 04 & 340 21 78 43 cineroutes@moov.mg www.cineroutesvideoproduction.com,,hardware,hardware, (+261) 324 00 04 04 & 340 21 78 43 cineroutes@moov.mg www.cineroutesvideoproduction.com
1046,,,, (+261) 20 22 497 79 contact@elettrica.mg www.elettrica.mg,,,LOT II I 164 DD ALAROBIA IVANDRY - ANTANANARIVO,,ELETTRICA, (+261) 20 22 497 79 contact@elettrica.mg www.elettrica.mg,,hardware,hardware, (+261) 20 22 497 79 contact@elettrica.mg www.elettrica.mg
1047,,,, (+261) 324 02 24 70 promultimediasoa@gmail.com,,,LOT QVY 56 BIS AMBATOMIRAHAVAVY - ANTANANARIVO,,FANOVOZANTSOA PROMULTIMEDIA, (+261) 324 02 24 70 promultimediasoa@gmail.com,,hardware,hardware, (+261) 324 02 24 70 promultimediasoa@gmail.com
1048,,,, (+261) 209 44 34 32 (+261) 209 44 40 12,,,BP. 230 - TOLIARY,,FLASH VIDEO, (+261) 209 44 34 32 (+261) 209 44 40 12,,hardware,hardware, (+261) 209 44 34 32 (+261) 209 44 40 12
1049,,,, (+261) 202 23 35 15 incoral@moov.mg,,,"86BIS, BEHORIRIKA - ANTANANARIVO",,INCORAL, (+261) 202 23 35 15 incoral@moov.mg,,hardware,hardware, (+261) 202 23 35 15 incoral@moov.mg
1050,,,, (+261) 202 23 30 66 (+261) 202 26 42 16 isi@moov.mg,,,"6, RUE GANDHI - ANTANANARIVO",,ISI, (+261) 202 23 30 66 (+261) 202 26 42 16 isi@moov.mg,,hardware,hardware, (+261) 202 23 30 66 (+261) 202 26 42 16 isi@moov.mg
1051,,,, (+261) 34 51 981 38 miantsakelyrakotoariso@yahoo.fr,,,LOT 103140 TANAMBAO - AMBATONDRAZAKA,,JAGUARD PRODUCTION, (+261) 34 51 981 38 miantsakelyrakotoariso@yahoo.fr,,hardware,hardware, (+261) 34 51 981 38 miantsakelyrakotoariso@yahoo.fr
1052,,,, (+261) 202 42 20 52 kambana_product@yahoo.fr,,,"36, RUE RADAMA - ANTANANARIVO",,KAMBANA PRODUCTION, (+261) 202 42 20 52 kambana_product@yahoo.fr,,hardware,hardware, (+261) 202 42 20 52 kambana_product@yahoo.fr
1053,,,, (+261) 202 22 06 77 rbohan@simicro.mg,,,BP. 3108 - 101 ANTANANARIVO,,MAD'ACTIVITE PRODUCTION, (+261) 202 22 06 77 rbohan@simicro.mg,,hardware,hardware, (+261) 202 22 06 77 rbohan@simicro.mg
1054,,,, (+261) 20 22 305 97 & 32 07 370 27 mamicom@funreco.mg,,,"IMMEUBLE SANTA ANTANIMENA LOT II, 3EME ETAGE - ANTANANARIVO",,MAMICOM, (+261) 20 22 305 97 & 32 07 370 27 mamicom@funreco.mg,,hardware,hardware, (+261) 20 22 305 97 & 32 07 370 27 mamicom@funreco.mg
1055,,,, (+261) 033 78 449 51 m.objectif@gmail.com,,,TSF 319 ANTSAHAFOHY AMBOHITRIMANJAKA - ANTANANARIVO,,OBJECTIF PROD, (+261) 033 78 449 51 m.objectif@gmail.com,,hardware,hardware, (+261) 033 78 449 51 m.objectif@gmail.com
1056,,,, (+261) 331 16 70 22 pagina@moov.mg,,,NANISANA - ANTANANARIVO,,PAGINA LOCATION PROJECTEUR, (+261) 331 16 70 22 pagina@moov.mg,,hardware,hardware, (+261) 331 16 70 22 pagina@moov.mg
1057,,,, (+261) 202 26 43 15 (+261) 202 26 43 16 sagatana@moov.mg,,,BP. 7664 - ANTANANARIVO,,SAGA, (+261) 202 26 43 15 (+261) 202 26 43 16 sagatana@moov.mg,,hardware,hardware, (+261) 202 26 43 15 (+261) 202 26 43 16 sagatana@moov.mg
1058,,,, (+261) 202 22 12 34 scoop.digital@yahoo.fr,,,ANDRONDRA - ANTANANARIVO,,SCOOP DIGITAL, (+261) 202 22 12 34 scoop.digital@yahoo.fr,,hardware,hardware, (+261) 202 22 12 34 scoop.digital@yahoo.fr
1059,,,, (+261) 34 11 133 49 infostuzy@gmail.com,,,"LOGT 21, BUILDING BLOC B, ANALAMAHITSY CITE - 101 ANTANANARIVO",,STUZY CHANNEL, (+261) 34 11 133 49 infostuzy@gmail.com,,hardware,hardware, (+261) 34 11 133 49 infostuzy@gmail.com
1060,,,, (+261) 34 05 991 13 & 33 05 055 55 info@theonemada.com,,,ANTANINANDRO RASALAMA - ANTANANARIVO,,THE ONE, (+261) 34 05 991 13 & 33 05 055 55 info@theonemada.com,,hardware,hardware, (+261) 34 05 991 13 & 33 05 055 55 info@theonemada.com
1061,,,, (+261) 202 23 23 70 (+261) 202 23 23 70 topsystem@blueline.mg,,,AMBOLOKANDRINA - ANTANANARIVO,,TOP SYSTEM, (+261) 202 23 23 70 (+261) 202 23 23 70 topsystem@blueline.mg,,hardware,hardware, (+261) 202 23 23 70 (+261) 202 23 23 70 topsystem@blueline.mg
1062,,,, (+261) 33 12 133 49 (+261) 34 11 133 49 harizostuzy@gmail.com,,,SOAVIMASOANDRO - ANTANANARIVO 101,,TTM STUZY GROUP, (+261) 33 12 133 49 (+261) 34 11 133 49 harizostuzy@gmail.com,,hardware,hardware, (+261) 33 12 133 49 (+261) 34 11 133 49 harizostuzy@gmail.com
1063,,,, (+261) 202 26 14 77,,,BESARELY - ANTANANARIVO,,CAP SUD EXPORT, (+261) 202 26 14 77,,train,train, (+261) 202 26 14 77
1064,,,, (+261) 202 23 01 43,,,ANTSAHAVOLA - ANTANANARIVO,,CITY EXPRESS, (+261) 202 23 01 43,,train,train, (+261) 202 23 01 43
1065,,,, (+261) 202 26 23 05,,,AMPASAMADINIKA - ANTANANARIVO,,COLIS EXPRESS, (+261) 202 26 23 05,,train,train, (+261) 202 26 23 05
1066,,,, (+261) 204 24 93 68,,,AMBODRIANA - AMBATOLAMPY,,COLIS EXPRESS, (+261) 204 24 93 68,,train,train, (+261) 204 24 93 68
1067,,,, (+261) 204 88 34 50,,,FIRAVAHA - ANALAVORY,,COLIS EXPRESS, (+261) 204 88 34 50,,train,train, (+261) 204 88 34 50
1068,,,, (+261) 204 49 39 25,,,RTE AMBOSITRA - ANTSIRABE,,COLIS EXPRESS, (+261) 204 49 39 25,,train,train, (+261) 204 49 39 25
1069,,,, (+261) 202 24 28 39 (+261) 202 24 22 64 mgsales@dhl.com www.dhl.com.mg,,,RTE IVANDRY - ANTANANARIVO,,DHL EXPRESS, (+261) 202 24 28 39 (+261) 202 24 22 64 mgsales@dhl.com www.dhl.com.mg,,train,train, (+261) 202 24 28 39 (+261) 202 24 22 64 mgsales@dhl.com www.dhl.com.mg
1070,,,, (+261) 202 45 37 14 (+261) 202 35 58 50 iol.express@iblgroupmada.com,,,RUE RASETA - ANTANANARIVO,,IOL EXPRESS MADAGASCAR, (+261) 202 45 37 14 (+261) 202 35 58 50 iol.express@iblgroupmada.com,,train,train, (+261) 202 45 37 14 (+261) 202 35 58 50 iol.express@iblgroupmada.com
1071,,,, (+261) 202 24 22 89,,,IVANDRY - ANTANANARIVO,,ITS, (+261) 202 24 22 89,,train,train, (+261) 202 24 22 89
1072,,,, (+261) 202 24 59 51 & 202 25 80 28,,,AMBOHIBAO - ANTANANARIVO,,MAD PACK, (+261) 202 24 59 51 & 202 25 80 28,,train,train, (+261) 202 24 59 51 & 202 25 80 28
1073,,,, (+261) 202 26 49 98 madaservice@moov.mg,,,"14, RUE BELGIQUE - ANTANANARIVO",,MADA SERVICE PLUS, (+261) 202 26 49 98 madaservice@moov.mg,,train,train, (+261) 202 26 49 98 madaservice@moov.mg
1074,,,, (+261) 330 80 00 45 (+261) 202 22 71 29 madaexpress@madagascar-express.com www.madagascar-express.com,,,ANTANIMENA - ANTANANARIVO,,MADAGASCAR EXPRESS, (+261) 330 80 00 45 (+261) 202 22 71 29 madaexpress@madagascar-express.com www.madagascar-express.com,,train,train, (+261) 330 80 00 45 (+261) 202 22 71 29 madaexpress@madagascar-express.com www.madagascar-express.com
1075,,,, (+261) 202 23 72 06 (+261) 202 26 66 22 madcourrier@moov.mg www.ups.com,,,PASTEUR ST - 101 ANTANANARIVO,,MADCOURRIER UPS, (+261) 202 23 72 06 (+261) 202 26 66 22 madcourrier@moov.mg www.ups.com,,train,train, (+261) 202 23 72 06 (+261) 202 26 66 22 madcourrier@moov.mg www.ups.com
1076,,,, (+261) 202 22 43 63,,,TSARALALANA - ANTANANARIVO,,MAFREX, (+261) 202 22 43 63,,train,train, (+261) 202 22 43 63
1077,,,, (+261) 202 23 06 70 (+261) 202 23 65 68 midextnr@moov.mg,,,ANTANIMENA - ANTANANARIVO,,MIDEX, (+261) 202 23 06 70 (+261) 202 23 65 68 midextnr@moov.mg,,train,train, (+261) 202 23 06 70 (+261) 202 23 65 68 midextnr@moov.mg
1078,,,, (+261) 202 22 24 45 (+261) 202 23 25 99 paositra@moov.mg www.paositra.mg,,,BP. 555 - ANTANANARIVO,,PAOSITRA, (+261) 202 22 24 45 (+261) 202 23 25 99 paositra@moov.mg www.paositra.mg,,train,train, (+261) 202 22 24 45 (+261) 202 23 25 99 paositra@moov.mg www.paositra.mg
1079,,,, (+261) 208 22 10 09,,,BLD ETENNE - ANTSIRANANA,,PAOSITRA, (+261) 208 22 10 09,,train,train, (+261) 208 22 10 09
1080,,,, (+261) 202 23 12 98 (+261) 202 23 12 52 madpack@simicro.mg www.saga.fr,,,BP. 425 - ANTANANARIVO,,SAGA EXPRESS, (+261) 202 23 12 98 (+261) 202 23 12 52 madpack@simicro.mg www.saga.fr,,train,train, (+261) 202 23 12 98 (+261) 202 23 12 52 madpack@simicro.mg www.saga.fr
1081,,,, (+261) 202 23 84 45,,,"17, RUE LUMUMBA - ANTANANARIVO",,SERA, (+261) 202 23 84 45,,train,train, (+261) 202 23 84 45
1082,,,, (+261) 204 44 81 70 eclair@moov.mg,,,RTE AMBOSITRA - ANTSIRABE,,SERVICE ECLAIR, (+261) 204 44 81 70 eclair@moov.mg,,train,train, (+261) 204 44 81 70 eclair@moov.mg
1083,,,, (+261) 204 44 81 70 eclair@moov.mg,,,RTE AMBOSITRA - ANTSIRABE,,SERVICE ECLAIR, (+261) 204 44 81 70 eclair@moov.mg,,train,train, (+261) 204 44 81 70 eclair@moov.mg
1084,,,, (+261) 20 22 312 98 (+261) 20 22 312 52 tnt.mada@simicro.mg,,,BP. 425 - ANTANANARIVO,,TNT, (+261) 20 22 312 98 (+261) 20 22 312 52 tnt.mada@simicro.mg,,train,train, (+261) 20 22 312 98 (+261) 20 22 312 52 tnt.mada@simicro.mg
1085,,,, (+261) 202 36 98 47 madcourrier@iblgroupmada.com www.ups.com,,,BP. 8355 - ANTANANARIVO,,UPS, (+261) 202 36 98 47 madcourrier@iblgroupmada.com www.ups.com,,train,train, (+261) 202 36 98 47 madcourrier@iblgroupmada.com www.ups.com
1086,,,, (+261) 202 22 58 12 (+261) 202 23 39 33 apma@apma.mg www.apma-mg.com,,,BP. 4452 - ANTANANARIVO,,APMA, (+261) 202 22 58 12 (+261) 202 23 39 33 apma@apma.mg www.apma-mg.com,,office,office, (+261) 202 22 58 12 (+261) 202 23 39 33 apma@apma.mg www.apma-mg.com
1087,,,, (+261) 202 26 01 66 (+261) 202 26 35 58 biznet@moov.mg,,,"5, AVE LENINE - ANTANANARIVO",,BIZNET, (+261) 202 26 01 66 (+261) 202 26 35 58 biznet@moov.mg,,office,office, (+261) 202 26 01 66 (+261) 202 26 35 58 biznet@moov.mg
1088,,,, (+261) 202 22 28 02 (+261) 202 22 79 01 blanbir@moov.mg,,,"15BIS, RUE LUMUMBA - ANTANANARIVO",,BLANCHE BIRGER, (+261) 202 22 28 02 (+261) 202 22 79 01 blanbir@moov.mg,,office,office, (+261) 202 22 28 02 (+261) 202 22 79 01 blanbir@moov.mg
1089,,,, (+261) 202 24 58 08 (+261) 202 24 57 68 boi@moov.mg,,,BP. 178 - ANTANANARIVO,,BOI, (+261) 202 24 58 08 (+261) 202 24 57 68 boi@moov.mg,,office,office, (+261) 202 24 58 08 (+261) 202 24 57 68 boi@moov.mg
1090,,,, (+261) 202 26 03 96 (+261) 202 26 95 94 bucomad@moov.mg,,,CENTRE COMMERCIAL PRISME - ANTANANARIVO,,BUCOMAD, (+261) 202 26 03 96 (+261) 202 26 95 94 bucomad@moov.mg,,office,office, (+261) 202 26 03 96 (+261) 202 26 95 94 bucomad@moov.mg
1091,,,, (+261) 209 44 39 42 (+261) 209 44 39 42,,,CENTRE - TOLIARY,,BUSINESS SERVICE, (+261) 209 44 39 42 (+261) 209 44 39 42,,office,office, (+261) 209 44 39 42 (+261) 209 44 39 42
1092,,,, (+261) 202 23 41 71 (+261) 202 26 22 23 cbl@cbl.mg,,,BP. 926 - ANTANANARIVO,,CBL REPRO MADA, (+261) 202 23 41 71 (+261) 202 26 22 23 cbl@cbl.mg,,office,office, (+261) 202 23 41 71 (+261) 202 26 22 23 cbl@cbl.mg
1093,,,, (+261) 208 66 16 57,,,PLACE DU MARCHE - NOSY BE,,COMPUTER SERVICE, (+261) 208 66 16 57,,office,office, (+261) 208 66 16 57
1094,,,, (+261) 209 22 14 85 (+261) 209 22 14 85,,,BP. 263 - TOLAGNARO,,FENO SERVICE, (+261) 209 22 14 85 (+261) 209 22 14 85,,office,office, (+261) 209 22 14 85 (+261) 209 22 14 85
1095,,,, (+261) 205 33 31 37,,,BP. 456 - TOAMASINA,,MADIMPEX, (+261) 205 33 31 37,,office,office, (+261) 205 33 31 37
1096,,,, (+261) 202 23 04 77 (+261) 202 23 43 31 marosoa@freenet.mg,,,BP. 7118 - ANTANANARIVO,,MAROSOA, (+261) 202 23 04 77 (+261) 202 23 43 31 marosoa@freenet.mg,,office,office, (+261) 202 23 04 77 (+261) 202 23 43 31 marosoa@freenet.mg
1097,,,, (+261) 209 22 16 94 (+261) 209 22 16 94,,,BP. 231 - TOLAGNARO,,MENDRIKA SERVICE, (+261) 209 22 16 94 (+261) 209 22 16 94,,office,office, (+261) 209 22 16 94 (+261) 209 22 16 94
1098,,,, (+261) 207 55 18 46 (+261) 207 55 07 46 mi_services@moov.mg,,,AMPASAMBAZAHA - FINARANTSOA,,MI SERVICES, (+261) 207 55 18 46 (+261) 207 55 07 46 mi_services@moov.mg,,office,office, (+261) 207 55 18 46 (+261) 207 55 07 46 mi_services@moov.mg
1099,,,, (+261) 202 25 29 56 (+261) 202 25 29 56 nexli@moov.mg,,,BP. 4034 - ANTANANARIVO,,NEXLI, (+261) 202 25 29 56 (+261) 202 25 29 56 nexli@moov.mg,,office,office, (+261) 202 25 29 56 (+261) 202 25 29 56 nexli@moov.mg
1100,,,, (+261) 202 26 10 32 (+261) 202 26 10 32 netrep@simicro.mg www.photocopieur-consommable.com,,,"32, RUE DE LIEGE - ANTANANARIVO",,NT REPRO, (+261) 202 26 10 32 (+261) 202 26 10 32 netrep@simicro.mg www.photocopieur-consommable.com,,office,office, (+261) 202 26 10 32 (+261) 202 26 10 32 netrep@simicro.mg www.photocopieur-consommable.com
1101,,,, (+261) 202 26 15 50 ntixsarl@freenet.mg,,,ANTETEZANAFOVOANY - ANTANANARIVO,,NTIX, (+261) 202 26 15 50 ntixsarl@freenet.mg,,office,office, (+261) 202 26 15 50 ntixsarl@freenet.mg
1102,,,, (+261) 202 22 33 87,,,AMPANDRANA OUEST - ANTANANARIVO,,NY TOKY, (+261) 202 22 33 87,,office,office, (+261) 202 22 33 87
1103,,,, (+261) 202 26 24 03 (+261) 202 22 55 73 omnitec@simicro.mg,,,"52, AVE 26 JUIN - ANTANANARIVO",,OMNITEC CENTER, (+261) 202 26 24 03 (+261) 202 22 55 73 omnitec@simicro.mg,,office,office, (+261) 202 26 24 03 (+261) 202 22 55 73 omnitec@simicro.mg
1104,,,, (+261) 209 55 27 82,,,CENTRE - MORONDAVA,,PAOMA MORONDAVA, (+261) 209 55 27 82,,office,office, (+261) 209 55 27 82
1105,,,, (+261) 202 26 00 46 (+261) 202 26 00 46,,,BEHARIRIKA - ANTANANARIVO,,PRIM OFFICE, (+261) 202 26 00 46 (+261) 202 26 00 46,,office,office, (+261) 202 26 00 46 (+261) 202 26 00 46
1106,,,, (+261) 202 26 43 15 (+261) 202 26 43 16 sagatana@moov.mg,,,BP. 7664 - ANTANANARIVO,,SAGA, (+261) 202 26 43 15 (+261) 202 26 43 16 sagatana@moov.mg,,office,office, (+261) 202 26 43 15 (+261) 202 26 43 16 sagatana@moov.mg
1107,,,, (+261) 202 22 89 59 (+261) 202 23 57 16 sceburmd@sbm.mg www.dts.mg/sbm,,,BP. 1029 - ANTANANARIVO,,SBM, (+261) 202 22 89 59 (+261) 202 23 57 16 sceburmd@sbm.mg www.dts.mg/sbm,,office,office, (+261) 202 22 89 59 (+261) 202 23 57 16 sceburmd@sbm.mg www.dts.mg/sbm
1108,,,, (+261) 202 26 14 93 (+261) 202 26 81 75 secabi@moov.mg,,,"129 BIS, RTE CIRCULAIRE - ANTANANARIVO",,SECABI, (+261) 202 26 14 93 (+261) 202 26 81 75 secabi@moov.mg,,office,office, (+261) 202 26 14 93 (+261) 202 26 81 75 secabi@moov.mg
1109,,,, (+261) 202 26 48 83 (+261) 202 23 25 18 simicro@simicro.mg www.simicro.mg,,,BP. 3557 - ANTANANARIVO,,SIMICRO, (+261) 202 26 48 83 (+261) 202 23 25 18 simicro@simicro.mg www.simicro.mg,,office,office, (+261) 202 26 48 83 (+261) 202 23 25 18 simicro@simicro.mg www.simicro.mg
1110,,,, (+261) 345 67 00 04 & 345 67 10 08 (+261) 202 24 57 58 madagascar@sodibur.com www.sodibur.com,,,"PK 12 FITROAFANA MANDROSOA, IVATO - ANTANANARIVO",,SODIBUR MADAGASCAR, (+261) 345 67 00 04 & 345 67 10 08 (+261) 202 24 57 58 madagascar@sodibur.com www.sodibur.com,,office,office, (+261) 345 67 00 04 & 345 67 10 08 (+261) 202 24 57 58 madagascar@sodibur.com www.sodibur.com
1111,,,, (+261) 20 22 301 63 (+261) 20 22 643 77 sodim@moov.mg,,,BP. 8585 - ANTANANARIVO,,SODIM, (+261) 20 22 301 63 (+261) 20 22 643 77 sodim@moov.mg,,office,office, (+261) 20 22 301 63 (+261) 20 22 643 77 sodim@moov.mg
1112,,,, (+261) 202 23 40 14,,,TSARALALANA - ANTANANARIVO,,TITANIUM MULTI SERVICES, (+261) 202 23 40 14,,office,office, (+261) 202 23 40 14
1113,,,, (+261) 20 22 449 28 ciblo.mada@gmail.com http://ciblo.e-monsite.com,,,LOT 64E IMERINAFOVOANY TALATAMATY - ANTANANARIVO,,CIBLO/IMPRIMERIE MULTISERVICE MADAGASCAR, (+261) 20 22 449 28 ciblo.mada@gmail.com http://ciblo.e-monsite.com,,material,material, (+261) 20 22 449 28 ciblo.mada@gmail.com http://ciblo.e-monsite.com
1114,,,, (+261) 34 92 623 84 antananarivo@encreservice.com www.orbservice.com,,,"GALERIE 9 TSARALALANA, 3EME ETAGE, FACE CENTRAL HOTEL - ANTANANARIVO",,ENCRESERVICE TANA, (+261) 34 92 623 84 antananarivo@encreservice.com www.orbservice.com,,material,material, (+261) 34 92 623 84 antananarivo@encreservice.com www.orbservice.com
1115,,,, (+261) 202 24 67 95 (+261) 202 24 68 96 intergraph@simicro.mg,,,BP. 672 - ANTANANARIVO,,HEIDELBERG INTERGRAPH MADAGASCAR, (+261) 202 24 67 95 (+261) 202 24 68 96 intergraph@simicro.mg,,material,material, (+261) 202 24 67 95 (+261) 202 24 68 96 intergraph@simicro.mg
1116,,,, (+261) 34 19 631 09 modaliamg@gmail.com,,,P.O. BOX 33 - ANTANANARIVO,,MODALIA COMMUNICATION SARLU, (+261) 34 19 631 09 modaliamg@gmail.com,,material,material, (+261) 34 19 631 09 modaliamg@gmail.com
1117,,,, (+261) 202 42 42 54 (+261) 202 26 76 64 info@msm-madagascar.mg,,,BP. 8117 - ANTANANARIVO,,MSM, (+261) 202 42 42 54 (+261) 202 26 76 64 info@msm-madagascar.mg,,material,material, (+261) 202 42 42 54 (+261) 202 26 76 64 info@msm-madagascar.mg
1118,,,, (+261) 202 26 43 15 (+261) 202 26 43 16 sagatana@moov.mg,,,BP. 7664 - ANTANANARIVO,,SAGA, (+261) 202 26 43 15 (+261) 202 26 43 16 sagatana@moov.mg,,material,material, (+261) 202 26 43 15 (+261) 202 26 43 16 sagatana@moov.mg
1119,,,, (+261) 20 22 422 94 contact@sharp.mg www.sharp.mg,,,CENTRE COMMERCIAL LA CITY IVANDRY - ANTANANARIVO 101,,SHARP STORE, (+261) 20 22 422 94 contact@sharp.mg www.sharp.mg,,material,material, (+261) 20 22 422 94 contact@sharp.mg www.sharp.mg
1120,,,, (+261) 202 22 24 82,,,"16, RUE RADAMA 1 ER - ANTANANARIVO",,SIPEX FITAOVANA PRINTY, (+261) 202 22 24 82,,material,material, (+261) 202 22 24 82
1121,,,, (+261) 207 55 00 95,,,AMPASAMBAZAHA - FINARANTSOA,,TITAN, (+261) 207 55 00 95,,material,material, (+261) 207 55 00 95
1122,,,, (+261) 34 66 979 65 domainedemesas@gmail.com,,,ANJOZORO EST MANTASOA SIS AU LAC - ANTANANARIVO,,DOMAINE DE MES AS EDENA MANTASOA, (+261) 34 66 979 65 domainedemesas@gmail.com,,train,train, (+261) 34 66 979 65 domainedemesas@gmail.com
1123,,,, (+261) 32 82 593 90 seramilay80@gmail.com,,,IVANDRY - ANTANANARIVO,,ONE, (+261) 32 82 593 90 seramilay80@gmail.com,,train,train, (+261) 32 82 593 90 seramilay80@gmail.com
1124,,,, (+261) (227) 20 72 36 62 (+261) (227) 20 72 22 36 eamacsec@asecna.org www.eamac.ne,,,BP. 746 - NIAMEY/NIGER,,EAMAC, (+261) (227) 20 72 36 62 (+261) (227) 20 72 22 36 eamacsec@asecna.org www.eamac.ne,,train,train, (+261) (227) 20 72 36 62 (+261) (227) 20 72 22 36 eamacsec@asecna.org www.eamac.ne
1125,,,, (+261) 20 22 211 07 & 32 07 218 84 aftananarive@alliancefr.mg https://cfmeaft.wixsite.com/accueil,,,BP. 916 - 101 ANTANANARIVO,,ALLIANCE FRANCAISE, (+261) 20 22 211 07 & 32 07 218 84 aftananarive@alliancefr.mg https://cfmeaft.wixsite.com/accueil,,train,train, (+261) 20 22 211 07 & 32 07 218 84 aftananarive@alliancefr.mg https://cfmeaft.wixsite.com/accueil
1126,,,, (+261) 20 62 225 52 afmajung@alliancefr.mg https://cfmeaft.wixsite.com/accueil,,,BP. 639 - MAHAJANGA,,ALLIANCE FRANCAISE, (+261) 20 62 225 52 afmajung@alliancefr.mg https://cfmeaft.wixsite.com/accueil,,train,train, (+261) 20 62 225 52 afmajung@alliancefr.mg https://cfmeaft.wixsite.com/accueil
